
<0000> "으으으으으으... 어쩌죠..."
<0062> "확실히 로네도 일 열심히 하고.\n일할 때 로네 귀엽지."
<0063> "로네는 반쯤 취미로 하는 것 같지만요...\n그래도 방금 여자아이들은 뭔가 대단히 빛나고 있던 것 같아요."
<0064> "나 말이지 어쩐지 알겠어.\n그 아이들은 분명 꿈을 지키는 거야."
<0065> "꿈?\n그 아이들 자고 있지 않았는데요."
<0066> "그런 꿈이 아니고 말이지...\n...아, 아니다. 설명하기 어려운데."
<0067> "미우, 거기까지 말했으면 설명을 해야 하는 거예요."
<0068> "자, 다음 판 가자 다음 판!"
<0069> "설명해주셨으면 하는 거예요..."
<0070> "달콤한 향기가... 푹신푹신했어요..."
<0071> "본 적 없는 과자가 잔뜩이었어어."
<0072> "그 여자아이들이 만든 과자같았어요."
<0073> "과자 만들기라... 여자력의 기본이지만,\n맛있을수록 포인트가 높다면 맛있을 수 있을 데까지 맛있게! \n라는 느낌이네."
<0074> "동감이에요.\n방금 그 말랑말랑 달콤달콤한 간식 최고였던 거예요."
<0075> "분명 푸딩이라고 했을 텐데.\n좋아라 좋아라-좀 더 먹고 싶었는데."
<0076> "레파도 좀 더... 핫?!"
<0077> "무슨 일이야?"
<0078> "미우, 달콤한 건 맛있어요.\n그치만 너무 많이 먹으면 어떻게 될 거라 생각하시나요?"
<0079> "그야 배나 얼굴이 불룩불룩해서...\n아아아아아아아앗?!"
<0080> "너무 불룩불룩하면 GP가 극적으로 내려가는 거예요."
<0081> "즉 과자 만들기란 자신의 GP를 높이면서,\n동시에 라이벌의 GP를 낮추는... 무시무시한 무기라는 거야?"
<0082> "불룩불룩... 대단해요.\n이런 공방도 있는 거군요... 공부가 되는 거예요."
<0083> "으히이... 방금부터 계속 놀라기만 하네에."
<0084> "그만큼 담긴 혼들이 대단하다는 거예요.\n숲의 마녀를 얕본 거예요."
<0085> "다음은 어떤 여자아이가 나올까..."
<0086> "다 큰 언니..."
<0087> "일하는 언니..."
<0088> "GP 자체는 분명 높지는 않았지만요."
<0089> "매력적인 사람들이었네."
<0090> "분명 보통 여자아이는 여자력의 전성기를 지나고,\n저렇게 매력적이 되어가는 거예요."
<0091> "그런가... 우리도 언젠가 저렇게 되려나."
<0092> "어떨까요.\n우리는 계속 여자아이일 텐데요."
<0093> "그치- 그러니 필사적으로 여자력을 높이는 노력을 하는 거지."
<0094> "풀죽은 거예요?"
<0095> "으음... 그래도 말이지, 이건 이것대로 즐겁다고 생각하니\n 괜찮아 괜찮아!"
<0096> "긍정적이네요...\n자, 계속 하는 거예요."
<0097> "응!"
<0098> "두 번 연속으로 다 큰 언니였는데..."
<0099> "쿨한 언니인 거예요.\n해야 할 일을 담담히 해내는 그런 사람들이었던 거예요."
<0100> "그치.\n그치만 뭔가... 지금까지 여자아이들과 다른 게 있었던 것 같아."
<0101> "분명 색기인 거예요."
<0102> "색기!! 와아아아, 나랑은 연 없는 힘이야아."
<0103> "레파한테도 없는 힘인 거예요..."
<0104> "역시 말이지, 어른이 되는 거 대단한 일이구나."
<0105> "확실히 그런 거예요.\n그치만..."
<0106> "응?"
<0107> "만에 하나 미우사키가 어른이 되어도,\n아마 색기는 나오지 않을 거라고 보는 거예요."
<0108> "어째서어-!"
<0109> "그보다도 이 게임도 조금 있으면 끝날 것 같은 거예요."
<0110> "정말? 그럼 나머지도 후딱 해치우자."
<0111> "해치우는 거예요."
<0112> "방금 건..."
<0113> "이상해요.\n그 차림새 이상한 사람은 둘째치고, 흰 옷의 여자는\n스타일이 그렇게 좋았는데..."
<0114> "스타일은 태어나서부터 갖는 재능인 거예요.\n그걸 완벽히 유지시킨다면\n옷차림이 어떻든 여자력은 높아야 할 거예요."
<0115> "게다가 그 스타일이었다면 색기라든가가 감돌아도 이상할 게 없는데...\n그런데...!"
<0116> "그 두 사람, GP가 전혀 안 느껴졌어."
<0117> "어쩌면... 무서운 일이에요.\nGirls of Death에 끝없이 가까워진 거예요."
<0118> "G.O.D...! 마녀의 죽음...\n그치만 어째서..."
<0119> "모르는 거예요.\n단 하나 확실한 건..."
<0120> "저렇게 되면 안 되는 거지요."
<0121> "그렇지."
<0122> "레파... 나 왠지 무서워진 것 같아아."
<0123> "레파도 그런 거예요.\n그치만..."
<0124> "...계속 하려고?"
<0125> "무섭지만,\n다음 번이 마지막인 거예요...\n마지막까지 같이 해주시지 않을래요?"
<0126> "레파가 힘내면 나도 힘내겠어!"
<0127> "미우... 고마워요."
<0128> "그럼 마지막...\n으와아!!"
<0129> "이건... 아직 시작하지 않았는데...\n방대한 오라가... 여자력의 폭풍이...!!"
<0130> "으으, 이런 여자력 느껴본 적이 없어...!\n대체 어떤 여자아이가 남아있는 거야!?"
<0131> "귀염둥이..."
<0132> "아이돌..."
<0133> "잔재주 없는 순수한 GP의 덩어리였어요."
<0134> "응... 대단했다... 이 말밖에 안 나와."
<0135> "미우사키, 울고 있어요?"
<0136> "에... 아, 정말이네...\n감동해버린 걸까... 그치만 레파도."
<0137> "이상한 거예요.\n눈물샘이 고장난 거예요."
<0138> "아하하, 그치만 그 정도로\n대단한 사람들을 본 거지."
<0139> "예. 귀염둥이 뿐이 아닌 거예요.\n이 게임에 나온 여자아이들 전부가\n레파 마음에 어떤 형태로든 파고드는 거예요."
<0140> "나도 그래.\n아 근데 나 생각났어."
<0141> "뭔가요?"
<0142> "확실히 이 게임에 나온 여자아이들은 대단했지만,\n그래도 레파도 엄청 귀여워서 지지 않았는걸."
<0143> "부끄러운 말을 하시는 거예요...\n그래도... 기쁜 거예요."
<0144> "또 그렇게 말하니 미우사키도...\n살짝 귀여웠다고 생각한 거예요."
<0145> "고마워!"
<0146> "그럼 가는 거예요.\n미우사키도 따라오는 거예요."
<0147> "아, 숲의 마녀에게 게임 돌려주러 가는 거지?"
<0148> "그런 거예요. 그리고..."
<0149> "으음, 맛있어!\n숲의 마녀도 푸딩 만들었구나."
<0150> "그 옷 말인 거예요.\n대단한 거예요.\n역시 미우한테도 어울리는 거예요."
<0151> "레파도 어울려! 귀여워어!"
<0152> "소란스러운 사람들이네요 참."
<0153> "응, 그리고 드문 짝이네.\n이거 같이 한 거지?"
<0154> "그런 거예요. 대단했던 거예요. 깜짝 놀랐던 거예요.\n다음엔 숲의 마녀도 같이 하는 거예요."
<0155> "그렇네, 그럼 나머지 한 명은... 로네라도 부를까?"
<0156> "좋아, 다 함께 놀자!"
